CoG,346
SoG,1.9
Latitude,43.9435452
Longitude,15.4286802
Heading,334
Windspeed,8.5
WindAngle,335
Heading,334
Windspeed,8.5
WindAngle,335
CoG,346
SoG,1.9
Heading,334
Windspeed,8.5
WindAngle,335
Heading,334
Windspeed,8.9
WindAngle,337
CoG,346
SoG,1.9
Heading,334
Windspeed,8.9
WindAngle,337
Heading,333
Windspeed,8.9
WindAngle,337
CoG,345
SoG,1.9
Heading,333
Windspeed,8.9
WindAngle,337
Heading,333
Windspeed,8.9
WindAngle,337
CoG,345
SoG,1.9
Heading,333
Windspeed,8.9
WindAngle,337
Heading,333
Depth,11.5
DepthOffset,-0.001
Windspeed,8.9
WindAngle,337
SpeedThroughWater,1.8
SoG,1273.9
Log,3971.30
CoG,344
SoG,1.9
Latitude,43.9435535
Longitude,15.4286774
Heading,333
Windspeed,8.9
WindAngle,337
Heading,333
Windspeed,8.9
WindAngle,337
CoG,344
SoG,1.9
Latitude,43.9435554
Longitude,15.4286767
Heading,333
Windspeed,8.9
WindAngle,337
Heading,333
Windspeed,9.0
WindAngle,336
CoG,344
SoG,1.9
Heading,332
Windspeed,9.0
WindAngle,336
Latitude,43.9435572
Longitude,15.4286758
Heading,332
Windspeed,9.0
WindAngle,336
CoG,343
SoG,1.9
Heading,332
Windspeed,9.0
WindAngle,336
Latitude,43.9435588
Longitude,15.4286749
Heading,332
Windspeed,9.0
WindAngle,336
CoG,343
SoG,1.9
Heading,332
Windspeed,9.0
WindAngle,336
Heading,332
Depth,11.7
DepthOffset,-0.001
Windspeed,9.0
WindAngle,336
SpeedThroughWater,1.8
SoG,1273.9
Log,3971.30
CoG,343
SoG,1.9
Heading,331
Windspeed,9.0
WindAngle,336
Latitude,43.9435639
Longitude,15.4286731
Heading,331
Windspeed,9.0
WindAngle,336
CoG,342
SoG,1.9
Heading,331
Windspeed,9.0
WindAngle,336
Latitude,43.9435653
Longitude,15.4286736
Heading,331
Windspeed,8.9
WindAngle,337
CoG,342
SoG,1.9
Latitude,43.9435653
Longitude,15.4286736
Heading,331
Windspeed,8.9
WindAngle,337
Heading,331
Windspeed,8.9
WindAngle,337
CoG,342
SoG,1.9
Latitude,43.9435668
Longitude,15.4286740
Heading,331
Windspeed,8.9
WindAngle,337
Latitude,43.9435687
Longitude,15.4286734
Heading,330
Windspeed,8.9
WindAngle,337
CoG,342
SoG,1.9
Heading,330
Windspeed,8.9
WindAngle,337
Heading,330
Depth,11.9
DepthOffset,-0.001
Windspeed,8.9
WindAngle,337
SpeedThroughWater,1.7
SoG,1273.9
CoG,342
SoG,1.9
Latitude,43.9435704
Longitude,15.4286730
Heading,330
Windspeed,8.9
WindAngle,337
Heading,330
Latitude,43.9435721
Longitude,15.4286725
Windspeed,8.9
WindAngle,337
CoG,342
SoG,1.9
Heading,330
Windspeed,8.9
WindAngle,337
Latitude,43.9435736
Longitude,15.4286719
Heading,329
Windspeed,9.2
WindAngle,339
CoG,342
SoG,1.9
Heading,329
Windspeed,9.2
WindAngle,339
Latitude,43.9435736
Longitude,15.4286719
Heading,329
Windspeed,9.2
WindAngle,339
CoG,342
SoG,1.9
Heading,329
Windspeed,9.2
WindAngle,339
Latitude,43.9435754
Longitude,15.4286720
Heading,329
Windspeed,9.2
WindAngle,339
CoG,342
SoG,1.8
Heading,329
Windspeed,9.2
WindAngle,339
Latitude,43.9435762
Longitude,15.4286720
Heading,328
Depth,11.8
DepthOffset,-0.001
Windspeed,9.2
WindAngle,339
